country,Code,year,Mortality_rate,GDP,Adolescent_fertility_rate,happiness_level
Thailand,THA,2010,1.360000038,3.47E+11,50.765,Level：3
Timor,TLS,2010,6.15,1296499072,45.458,Level：5
Togo,TGO,2010,8.9,3103184640,89.209,Level：5
Tonga,TON,2010,1.319999981,391911616,20.671,Level：3
Trinidad and Tobago,TTO,2010,2.25,24046505984,41.94,Level：4
Tunisia,TUN,2010,1.839999962,42282852352,6.999,Level：3
Turkey,TUR,2010,1.810000038,6.14E+11,35.469,Level：3
Turkmenistan,TKM,2010,4.309999847,21701781504,24.589,Level：4
Tuvalu,TUV,2010,3.129999924,29675542,35.278,Level：4
Uganda,UGA,2010,7.630000305,24896350208,128.949,Level：5
Ukraine,UKR,2010,1.169999981,1.06E+11,30.23,Level：3
United Arab Emirates,ARE,2010,0.869999981,2.78E+11,13.72,Level：2
United Kingdom,GBR,2010,0.519999981,2.67E+12,23.861,Level：2
United States,USA,2010,0.730000019,1.63E+13,34.436,Level：2
Uruguay,URY,2010,1.069999981,45125320704,64.922,Level：3
Uzbekistan,UZB,2010,2.870000076,60876693504,21.669,Level：4
Vanuatu,VUT,2010,2.910000038,674601728,70.606,Level：4
Venezuela,VEN,2010,1.710000038,,96.868,Level：3
Vietnam,VNM,2010,2.289999962,1.45E+11,34.991,Level：4
Yemen,YEM,2010,5.879999924,63039586304,77.304,Level：5
Zambia,ZMB,2010,7.9,16527123456,133.273,Level：5
Afghanistan,AFG,2000,12.91999969,,152.572,Level：6
Albania,ALB,2000,2.720000076,6057217024,14.792,Level：4
Algeria,DZA,2000,3.970000076,96577871872,9.302,Level：4
Andorra,AND,2000,0.819999981,2240757248,9.281,Level：2
Angola,AGO,2000,20.43999939,40193671168,177.316,Level：7
Antigua and Barbuda,ATG,2000,1.55,1069381632,63.429,Level：3
Argentina,ARG,2000,1.960000038,3.96E+11,66.54,Level：3
Armenia,ARM,2000,3.060000038,3959424768,36.644,Level：4
Australia,AUS,2000,0.619999981,8.73E+11,17.357,Level：2
Austria,AUT,2000,0.55,3.11E+11,14.06,Level：2
Azerbaijan,AZE,2000,7.440000153,11918017536,33.89,Level：5
